
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Wed Nov 12 1947,Box Score,Baltimore Bullets,55,Washington Capitols,63,,
Thu Nov 13 1947,Box Score,Boston Celtics,74,Baltimore Bullets,85,,
Thu Nov 13 1947,Box Score,St. Louis Bombers,70,Chicago Stags,80,,
Thu Nov 13 1947,Box Score,Washington Capitols,65,New York Knicks,80,,
Thu Nov 13 1947,Box Score,Providence Steam Rollers,64,Philadelphia Warriors,79,,
Fri Nov 14 1947,Box Score,Philadelphia Warriors,79,Boston Celtics,74,,
Sat Nov 15 1947,Box Score,Washington Capitols,69,Boston Celtics,73,,
Sat Nov 15 1947,Box Score,Baltimore Bullets,67,Chicago Stags,63,,
Sat Nov 15 1947,Box Score,St. Louis Bombers,67,New York Knicks,73,,
Sat Nov 15 1947,Box Score,Philadelphia Warriors,80,Providence Steam Rollers,78,,
Tue Nov 18 1947,Box Score,St. Louis Bombers,65,Boston Celtics,50,,
Tue Nov 18 1947,Box Score,New York Knicks,87,Providence Steam Rollers,69,,
Wed Nov 19 1947,Box Score,Chicago Stags,81,New York Knicks,63,,
Wed Nov 19 1947,Box Score,Philadelphia Warriors,67,Washington Capitols,74,,
Thu Nov 20 1947,Box Score,New York Knicks,56,Baltimore Bullets,68,,
Thu Nov 20 1947,Box Score,Washington Capitols,77,Chicago Stags,81,,
Thu Nov 20 1947,Box Score,Boston Celtics,67,Philadelphia Warriors,57,,
Thu Nov 20 1947,Box Score,Providence Steam Rollers,67,St. Louis Bombers,73,,
Fri Nov 21 1947,Box Score,Baltimore Bullets,89,Boston Celtics,73,,
Sat Nov 22 1947,Box Score,Chicago Stags,72,Baltimore Bullets,75,,
Sat Nov 22 1947,Box Score,Providence Steam Rollers,62,Boston Celtics,65,,
Sat Nov 22 1947,Box Score,Philadelphia Warriors,83,New York Knicks,78,,
Sat Nov 22 1947,Box Score,Washington Capitols,62,St. Louis Bombers,70,,
Tue Nov 25 1947,Box Score,New York Knicks,91,Boston Celtics,75,,
Wed Nov 26 1947,Box Score,Boston Celtics,65,New York Knicks,63,,
Wed Nov 26 1947,Box Score,St. Louis Bombers,64,Washington Capitols,83,,
