
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Mar 23 1948,Box Score,Washington Capitols,70,Chicago Stags,74,,Tiebreaker
Tue Mar 23 1948,Box Score,Philadelphia Warriors,58,St. Louis Bombers,60,,
Thu Mar 25 1948,Box Score,Baltimore Bullets,75,Chicago Stags,72,,Tiebreaker
Thu Mar 25 1948,Box Score,Philadelphia Warriors,65,St. Louis Bombers,64,,
Sat Mar 27 1948,Box Score,New York Knicks,81,Baltimore Bullets,85,,
Sat Mar 27 1948,Box Score,St. Louis Bombers,56,Philadelphia Warriors,84,,
Sun Mar 28 1948,Box Score,Chicago Stags,79,Boston Celtics,72,,
Sun Mar 28 1948,Box Score,Baltimore Bullets,69,New York Knicks,79,,
Tue Mar 30 1948,Box Score,St. Louis Bombers,56,Philadelphia Warriors,51,,
Wed Mar 31 1948,Box Score,Chicago Stags,77,Boston Celtics,81,,
Thu Apr 1 1948,Box Score,New York Knicks,77,Baltimore Bullets,84,,
Thu Apr 1 1948,Box Score,Philadelphia Warriors,62,St. Louis Bombers,69,,
Fri Apr 2 1948,Box Score,Chicago Stags,81,Boston Celtics,74,,
Sat Apr 3 1948,Box Score,St. Louis Bombers,61,Philadelphia Warriors,84,,
Tue Apr 6 1948,Box Score,Philadelphia Warriors,85,St. Louis Bombers,46,,
Wed Apr 7 1948,Box Score,Baltimore Bullets,73,Chicago Stags,67,,
Thu Apr 8 1948,Box Score,Chicago Stags,72,Baltimore Bullets,89,,
Sat Apr 10 1948,Box Score,Baltimore Bullets,60,Philadelphia Warriors,71,,
Tue Apr 13 1948,Box Score,Baltimore Bullets,66,Philadelphia Warriors,63,,
Thu Apr 15 1948,Box Score,Philadelphia Warriors,70,Baltimore Bullets,72,,
Sat Apr 17 1948,Box Score,Philadelphia Warriors,75,Baltimore Bullets,78,,
Tue Apr 20 1948,Box Score,Baltimore Bullets,82,Philadelphia Warriors,91,,
Wed Apr 21 1948,Box Score,Philadelphia Warriors,73,Baltimore Bullets,88,,
