
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Apr 10 1979,Box Score,Los Angeles Lakers,105,Denver Nuggets,110,,
Tue Apr 10 1979,Box Score,Portland Trail Blazers,103,Phoenix Suns,107,,
Wed Apr 11 1979,Box Score,Atlanta Hawks,109,Houston Rockets,106,,
Wed Apr 11 1979,Box Score,New Jersey Nets,114,Philadelphia 76ers,122,,
Fri Apr 13 1979,Box Score,Houston Rockets,91,Atlanta Hawks,100,,
Fri Apr 13 1979,Box Score,Denver Nuggets,109,Los Angeles Lakers,121,,
Fri Apr 13 1979,Box Score,Philadelphia 76ers,111,New Jersey Nets,101,,
Fri Apr 13 1979,Box Score,Phoenix Suns,92,Portland Trail Blazers,96,,
Sun Apr 15 1979,Box Score,Los Angeles Lakers,112,Denver Nuggets,111,,
Sun Apr 15 1979,Box Score,Portland Trail Blazers,91,Phoenix Suns,101,,
Sun Apr 15 1979,Box Score,Philadelphia 76ers,106,San Antonio Spurs,119,,
Sun Apr 15 1979,Box Score,Atlanta Hawks,89,Washington Bullets,103,,
Tue Apr 17 1979,Box Score,Kansas City Kings,99,Phoenix Suns,102,,
Tue Apr 17 1979,Box Score,Philadelphia 76ers,120,San Antonio Spurs,121,,
Tue Apr 17 1979,Box Score,Los Angeles Lakers,101,Seattle SuperSonics,112,,
Tue Apr 17 1979,Box Score,Atlanta Hawks,107,Washington Bullets,99,,
Wed Apr 18 1979,Box Score,Los Angeles Lakers,103,Seattle SuperSonics,108,OT,
Fri Apr 20 1979,Box Score,Washington Bullets,89,Atlanta Hawks,77,,
Fri Apr 20 1979,Box Score,Phoenix Suns,91,Kansas City Kings,111,,
Fri Apr 20 1979,Box Score,Seattle SuperSonics,112,Los Angeles Lakers,118,OT,
Fri Apr 20 1979,Box Score,San Antonio Spurs,115,Philadelphia 76ers,123,,
Sun Apr 22 1979,Box Score,Washington Bullets,120,Atlanta Hawks,118,OT,
Sun Apr 22 1979,Box Score,Seattle SuperSonics,117,Los Angeles Lakers,115,,
Sun Apr 22 1979,Box Score,San Antonio Spurs,115,Philadelphia 76ers,112,,
Sun Apr 22 1979,Box Score,Kansas City Kings,93,Phoenix Suns,108,,at Tempe AZ
Tue Apr 24 1979,Box Score,Atlanta Hawks,107,Washington Bullets,103,,
Wed Apr 25 1979,Box Score,Phoenix Suns,108,Kansas City Kings,94,,
Wed Apr 25 1979,Box Score,Los Angeles Lakers,100,Seattle SuperSonics,106,,
Thu Apr 26 1979,Box Score,Washington Bullets,86,Atlanta Hawks,104,,
Thu Apr 26 1979,Box Score,Philadelphia 76ers,120,San Antonio Spurs,97,,
Fri Apr 27 1979,Box Score,Kansas City Kings,99,Phoenix Suns,120,,
Sun Apr 29 1979,Box Score,San Antonio Spurs,90,Philadelphia 76ers,92,,
Sun Apr 29 1979,Box Score,Atlanta Hawks,94,Washington Bullets,100,,
Tue May 1 1979,Box Score,Phoenix Suns,93,Seattle SuperSonics,108,,
Wed May 2 1979,Box Score,Philadelphia 76ers,108,San Antonio Spurs,111,,
Fri May 4 1979,Box Score,Phoenix Suns,97,Seattle SuperSonics,103,,
Fri May 4 1979,Box Score,San Antonio Spurs,118,Washington Bullets,97,,
Sun May 6 1979,Box Score,Seattle SuperSonics,103,Phoenix Suns,113,,
Sun May 6 1979,Box Score,San Antonio Spurs,95,Washington Bullets,115,,
Tue May 8 1979,Box Score,Seattle SuperSonics,91,Phoenix Suns,100,,
Wed May 9 1979,Box Score,Washington Bullets,114,San Antonio Spurs,116,,
Fri May 11 1979,Box Score,Washington Bullets,102,San Antonio Spurs,118,,
Fri May 11 1979,Box Score,Phoenix Suns,99,Seattle SuperSonics,93,,
Sun May 13 1979,Box Score,Seattle SuperSonics,106,Phoenix Suns,105,,
Sun May 13 1979,Box Score,San Antonio Spurs,103,Washington Bullets,107,,
Wed May 16 1979,Box Score,Washington Bullets,108,San Antonio Spurs,100,,
Thu May 17 1979,Box Score,Phoenix Suns,110,Seattle SuperSonics,114,,
Fri May 18 1979,Box Score,San Antonio Spurs,105,Washington Bullets,107,,
Sun May 20 1979,Box Score,Seattle SuperSonics,97,Washington Bullets,99,,
Thu May 24 1979,Box Score,Seattle SuperSonics,92,Washington Bullets,82,,
Sun May 27 1979,Box Score,Washington Bullets,95,Seattle SuperSonics,105,,
Tue May 29 1979,Box Score,Washington Bullets,112,Seattle SuperSonics,114,OT,
Fri Jun 1 1979,Box Score,Seattle SuperSonics,97,Washington Bullets,93,,
