
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri Nov 6 1992,Box Score,New York Knicks,106,Atlanta Hawks,94,,
Fri Nov 6 1992,Box Score,Minnesota Timberwolves,92,Boston Celtics,113,,
Fri Nov 6 1992,Box Score,Washington Bullets,119,Charlotte Hornets,126,,
Fri Nov 6 1992,Box Score,Chicago Bulls,101,Cleveland Cavaliers,96,,
Fri Nov 6 1992,Box Score,Milwaukee Bucks,86,Detroit Pistons,81,,
Fri Nov 6 1992,Box Score,Seattle SuperSonics,111,Houston Rockets,94,,at Yokohama Japan
Fri Nov 6 1992,Box Score,Los Angeles Lakers,114,Los Angeles Clippers,112,OT,
Fri Nov 6 1992,Box Score,Miami Heat,100,Orlando Magic,110,,
Fri Nov 6 1992,Box Score,New Jersey Nets,114,Philadelphia 76ers,111,,
Fri Nov 6 1992,Box Score,San Antonio Spurs,106,Sacramento Kings,114,,
Fri Nov 6 1992,Box Score,Golden State Warriors,129,Utah Jazz,114,,
Sat Nov 7 1992,Box Score,Atlanta Hawks,100,Chicago Bulls,99,,
Sat Nov 7 1992,Box Score,Utah Jazz,122,Dallas Mavericks,106,,
Sat Nov 7 1992,Box Score,San Antonio Spurs,121,Denver Nuggets,125,2OT,
Sat Nov 7 1992,Box Score,Detroit Pistons,89,Indiana Pacers,87,,
Sat Nov 7 1992,Box Score,New Jersey Nets,94,Miami Heat,106,,
Sat Nov 7 1992,Box Score,Boston Celtics,88,Milwaukee Bucks,124,,
Sat Nov 7 1992,Box Score,Golden State Warriors,121,Minnesota Timberwolves,119,OT,
Sat Nov 7 1992,Box Score,Philadelphia 76ers,85,New York Knicks,89,,
Sat Nov 7 1992,Box Score,Los Angeles Clippers,105,Phoenix Suns,111,,
Sat Nov 7 1992,Box Score,Houston Rockets,85,Seattle SuperSonics,89,,at Yokohama Japan
Sat Nov 7 1992,Box Score,Orlando Magic,103,Washington Bullets,98,,
Sun Nov 8 1992,Box Score,Charlotte Hornets,107,Cleveland Cavaliers,127,,
Sun Nov 8 1992,Box Score,Sacramento Kings,124,Los Angeles Lakers,114,,
Sun Nov 8 1992,Box Score,Denver Nuggets,104,Portland Trail Blazers,123,,
Mon Nov 9 1992,Box Score,Indiana Pacers,97,Chicago Bulls,102,,
Tue Nov 10 1992,Box Score,Washington Bullets,92,Cleveland Cavaliers,131,,
Tue Nov 10 1992,Box Score,Utah Jazz,118,Denver Nuggets,109,,
Tue Nov 10 1992,Box Score,Los Angeles Lakers,107,Golden State Warriors,106,,
Tue Nov 10 1992,Box Score,Boston Celtics,106,Miami Heat,110,,
